    5   31  Pure helium grid                                                                                                               Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
  8000. 7.5  0.329 12.194 -0.190 11.989 12.647 12.384 12.195 12.014 11.978 11.909 11.884 12.811 12.443 12.343 12.400 12.521 12.375  0.246  0.546  0.520 -0.085  0.059  0.442  0.371  0.170 6.466E+08
  8500. 7.5  0.331 11.924 -0.245 11.677 12.387 12.169 12.007 11.855 11.856 11.804 11.793 12.500 12.200 12.149 12.232 12.373 12.162  0.216  0.470  0.461 -0.140 -0.005  0.347  0.302  0.121 5.572E+08
  9000. 7.5  0.333 11.669 -0.310 11.398 12.154 11.979 11.840 11.714 11.748 11.711 11.710 12.222 11.984 11.976 12.083 12.240 11.972  0.189  0.401  0.408 -0.190 -0.063  0.261  0.239  0.077 4.830E+08
  9500. 7.5  0.335 11.427 -0.381 11.148 11.947 11.809 11.691 11.588 11.651 11.627 11.636 11.973 11.790 11.823 11.950 12.122 11.803  0.165  0.338  0.360 -0.233 -0.114  0.184  0.183  0.038 4.207E+08
 10000. 7.5  0.337 11.198 -0.458 10.924 11.761 11.656 11.558 11.475 11.564 11.552 11.570 11.750 11.617 11.685 11.831 12.017 11.651  0.144  0.283  0.317 -0.273 -0.160  0.115  0.133  0.002 3.679E+08
 11000. 7.5  0.341 10.773 -0.610 10.538 11.435 11.383 11.316 11.265 11.397 11.405 11.436 11.365 11.310 11.437 11.612 11.819 11.378  0.110  0.195  0.251 -0.337 -0.236  0.007  0.054 -0.055 2.838E+08
 12000. 7.5  0.344 10.385 -0.772 10.219 11.165 11.157 11.117 11.094 11.262 11.287 11.329 11.047 11.056 11.232 11.432 11.658 11.153  0.081  0.123  0.197 -0.393 -0.301 -0.081 -0.009 -0.104 2.207E+08
 13000. 7.5  0.347 10.028 -0.929  9.949 10.932 10.957 10.940 10.940 11.139 11.178 11.229 10.778 10.835 11.051 11.272 11.512 10.953  0.059  0.071  0.156 -0.440 -0.355 -0.146 -0.054 -0.146 1.723E+08
 14000. 7.5  0.350  9.697 -1.079  9.716 10.725 10.775 10.778 10.798 11.023 11.074 11.133 10.546 10.637 10.884 11.124 11.378 10.770  0.040  0.035  0.127 -0.481 -0.401 -0.192 -0.084 -0.181 1.355E+08
 15000. 7.5  0.353  9.388 -1.217  9.511 10.537 10.605 10.625 10.662 10.909 10.971 11.036 10.343 10.454 10.728 10.983 11.248 10.597  0.026  0.015  0.109 -0.519 -0.443 -0.220 -0.099 -0.212 1.072E+08
 17000. 7.5  0.359  8.825 -1.476  9.172 10.214 10.301 10.352 10.416 10.691 10.771 10.845 10.005 10.137 10.450 10.730 11.010 10.287  0.007  0.001  0.095 -0.585 -0.511 -0.241 -0.103 -0.260 6.913E+07
 18000. 7.5  0.363  8.567 -1.607  9.033 10.080 10.173 10.237 10.312 10.594 10.681 10.758  9.867 10.004 10.334 10.623 10.908 10.156  0.001 -0.002  0.092 -0.613 -0.540 -0.245 -0.102 -0.278 5.662E+07
 20000. 7.5  0.369  8.090 -1.884  8.807  9.865  9.974 10.058 10.150 10.441 10.538 10.616  9.643  9.794 10.152 10.457 10.750  9.952 -0.011 -0.013  0.080 -0.655 -0.585 -0.261 -0.106 -0.308 3.945E+07
 22000. 7.5  0.376  7.657 -2.214  8.687  9.751  9.871  9.965 10.067 10.361 10.460 10.536  9.524  9.683 10.057 10.371 10.668  9.849 -0.021 -0.021  0.068 -0.675 -0.608 -0.274 -0.111 -0.326 3.237E+07
 24000. 7.5  0.382  7.261 -2.535  8.595  9.665  9.796  9.895 10.001 10.297 10.393 10.467  9.433  9.601  9.985 10.304 10.604  9.776 -0.030 -0.031  0.053 -0.684 -0.621 -0.291 -0.120 -0.340 2.298E+07
 26000. 7.5  0.388  6.897 -2.778  8.434  9.522  9.675  9.780  9.897 10.201 10.300 10.375  9.272  9.465  9.869 10.196 10.502  9.657 -0.045 -0.059  0.025 -0.698 -0.643 -0.330 -0.147 -0.362 1.748E+07
 28000. 7.5  0.393  6.559 -2.988  8.261  9.373  9.547  9.659  9.786 10.103 10.205 10.283  9.101  9.324  9.746 10.082 10.394  9.533 -0.059 -0.095 -0.006 -0.711 -0.661 -0.377 -0.181 -0.379 1.393E+07
 30000. 7.5  0.399  6.245 -3.183  8.098  9.233  9.427  9.543  9.678 10.007 10.112 10.194  8.938  9.192  9.629  9.972 10.290  9.416 -0.069 -0.131 -0.033 -0.722 -0.676 -0.421 -0.216 -0.392 1.136E+07
  3500. 8.0  0.569 16.440 -1.780 21.421 20.220 18.219 16.940 15.814 14.664 14.180 13.894 22.300 19.276 17.402 16.511 15.988 18.231  1.433  3.379  2.836  2.000  2.569  4.112  3.006  2.099 9.361E+09
  3750. 8.0  0.569 16.140 -1.376 20.350 19.325 17.516 16.394 15.395 14.418 13.995 13.745 21.218 18.465 16.799 16.044 15.621 17.516  1.294  3.110  2.582  1.704  2.246  3.734  2.749  1.884 8.876E+09
  4000. 8.0  0.569 15.859 -1.039 19.379 18.521 16.899 15.918 15.037 14.207 13.835 13.615 20.236 17.742 16.275 15.644 15.308 16.890  1.161  2.850  2.337  1.434  1.942  3.369  2.500  1.677 8.345E+09
  4250. 8.0  0.569 15.596 -0.765 18.495 17.804 16.361 15.508 14.733 14.026 13.697 13.502 19.343 17.102 15.825 15.304 15.041 16.347  1.033  2.593  2.097  1.192  1.658  3.012  2.255  1.475 7.750E+09
  4500. 8.0  0.570 15.347 -0.546 17.685 17.162 15.893 15.153 14.472 13.869 13.575 13.402 18.525 16.536 15.438 15.013 14.813 15.876  0.910  2.334  1.864  0.978  1.397  2.658  2.009  1.279 7.165E+09
  4750. 8.0  0.570 15.112 -0.378 16.948 16.594 15.490 14.849 14.249 13.733 13.469 13.315 17.782 16.039 15.107 14.764 14.617 15.471  0.796  2.073  1.642  0.793  1.164  2.313  1.763  1.093 6.606E+09
  5000. 8.0  0.570 14.888 -0.256 16.282 16.097 15.144 14.587 14.058 13.614 13.376 13.237 17.109 15.607 14.824 14.551 14.447 15.126  0.693  1.813  1.435  0.636  0.960  1.980  1.520  0.921 5.978E+09
  5250. 8.0  0.571 14.675 -0.175 15.695 15.669 14.850 14.362 13.890 13.507 13.290 13.165 16.518 15.238 14.581 14.366 14.299 14.832  0.605  1.570  1.255  0.507  0.789  1.679  1.296  0.773 5.022E+09
  5500. 8.0  0.572 14.472 -0.126 15.194 15.308 14.598 14.165 13.741 13.407 13.209 13.097 16.015 14.923 14.371 14.202 14.164 14.581  0.534  1.358  1.107  0.403  0.653  1.425  1.103  0.652 3.958E+09
  6000. 8.0  0.573 14.090 -0.091 14.416 14.735 14.181 13.827 13.475 13.223 13.058 12.967 15.235 14.416 14.015 13.915 13.922 14.166  0.435  1.052  0.897  0.250  0.456  1.063  0.827  0.481 2.548E+09
  6500. 8.0  0.575 13.740 -0.096 13.837 14.286 13.836 13.538 13.240 13.054 12.918 12.846 14.657 14.009 13.712 13.663 13.706 13.823  0.368  0.858  0.761  0.140  0.320  0.831  0.654  0.369 1.993E+09
  7000. 8.0  0.576 13.416 -0.120 13.369 13.908 13.536 13.282 13.029 12.900 12.788 12.734 14.189 13.662 13.445 13.438 13.511 13.524  0.318  0.723  0.660  0.051  0.215  0.666  0.532  0.286 1.649E+09
  7500. 8.0  0.577 13.114 -0.157 12.974 13.583 13.272 13.053 12.839 12.758 12.668 12.629 13.795 13.360 13.208 13.236 13.334 13.261  0.278  0.620  0.581 -0.023  0.129  0.538  0.439  0.221 1.394E+09
  8000. 8.0  0.578 12.832 -0.202 12.628 13.293 13.034 12.846 12.665 12.627 12.557 12.532 13.450 13.091 12.994 13.052 13.172 13.025  0.244  0.536  0.515 -0.086  0.056  0.432  0.362  0.166 1.185E+09
  8500. 8.0  0.579 12.567 -0.255 12.322 13.036 12.822 12.660 12.508 12.508 12.455 12.442 13.144 12.850 12.802 12.885 13.025 12.814  0.215  0.463  0.458 -0.141 -0.008  0.340  0.296  0.118 1.012E+09
  9000. 8.0  0.580 12.317 -0.316 12.048 12.807 12.633 12.495 12.368 12.401 12.364 12.362 12.872 12.637 12.631 12.738 12.895 12.626  0.188  0.397  0.406 -0.190 -0.064  0.258  0.236  0.076 8.703E+08
  9500. 8.0  0.581 12.080 -0.385 11.803 12.603 12.465 12.348 12.244 12.307 12.283 12.291 12.628 12.446 12.479 12.607 12.779 12.459  0.165  0.337  0.359 -0.233 -0.115  0.183  0.182  0.037 7.558E+08
 10000. 8.0  0.582 11.855 -0.460 11.583 12.420 12.315 12.217 12.134 12.223 12.211 12.228 12.409 12.276 12.344 12.490 12.676 12.311  0.143  0.282  0.317 -0.272 -0.160  0.115  0.132  0.002 6.615E+08
 11000. 8.0  0.584 11.437 -0.612 11.203 12.100 12.049 11.982 11.931 12.062 12.070 12.101 12.030 11.976 12.103 12.277 12.485 12.045  0.110  0.194  0.250 -0.337 -0.236  0.006  0.053 -0.054 5.143E+08
 12000. 8.0  0.586 11.056 -0.774 10.889 11.837 11.830 11.790 11.765 11.933 11.958 12.000 11.717 11.729 11.905 12.104 12.329 11.825  0.081  0.121  0.195 -0.392 -0.300 -0.084 -0.012 -0.103 4.060E+08
 13000. 8.0  0.588 10.705 -0.934 10.625 11.612 11.639 11.621 11.619 11.818 11.856 11.907 11.454 11.516 11.732 11.951 12.192 11.634  0.059  0.065  0.154 -0.438 -0.354 -0.152 -0.061 -0.143 3.247E+08
 14000. 8.0  0.590 10.380 -1.087 10.398 11.414 11.466 11.468 11.486 11.710 11.760 11.819 11.228 11.327 11.575 11.812 12.065 11.461  0.041  0.024  0.124 -0.478 -0.399 -0.202 -0.095 -0.178 2.617E+08
 15000. 8.0  0.592 10.077 -1.229 10.198 11.235 11.306 11.324 11.358 11.604 11.665 11.730 11.029 11.154 11.428 11.680 11.944 11.298  0.028 -0.003  0.104 -0.514 -0.439 -0.235 -0.116 -0.208 2.121E+08
 17000. 8.0  0.595  9.527 -1.486  9.863 10.924 11.013 11.061 11.120 11.395 11.474 11.549 10.695 10.849 11.160 11.435 11.714 10.999  0.012 -0.028  0.089 -0.576 -0.502 -0.264 -0.131 -0.252 1.410E+08
 18000. 8.0  0.597  9.276 -1.612  9.724 10.793 10.887 10.947 11.016 11.299 11.384 11.463 10.557 10.719 11.045 11.328 11.613 10.869  0.007 -0.034  0.087 -0.602 -0.528 -0.270 -0.133 -0.268 1.153E+08
 20000. 8.0  0.600  8.812 -1.873  9.494 10.578 10.685 10.766 10.850 11.141 11.237 11.317 10.329 10.509 10.861 11.159 11.451 10.662 -0.001 -0.050  0.078 -0.644 -0.570 -0.287 -0.141 -0.294 7.631E+07
 22000. 8.0  0.604  8.392 -2.163  9.336 10.434 10.555 10.648 10.744 11.043 11.144 11.224 10.172 10.369 10.741 11.050 11.349 10.530 -0.011 -0.068  0.063 -0.671 -0.599 -0.309 -0.155 -0.314 4.965E+07
 24000. 8.0  0.607  8.007 -2.487  9.262 10.365 10.495 10.593 10.695 10.997 11.098 11.178 10.099 10.303 10.685 10.999 11.301 10.471 -0.018 -0.077  0.053 -0.682 -0.612 -0.322 -0.162 -0.325 3.212E+07
 26000. 8.0  0.611  7.653 -2.765  9.163 10.276 10.418 10.523 10.631 10.939 11.040 11.119 10.001 10.218 10.613 10.933 11.239 10.396 -0.028 -0.091  0.037 -0.693 -0.628 -0.343 -0.175 -0.340 2.128E+07
 28000. 8.0  0.614  7.325 -2.989  9.024 10.153 10.314 10.426 10.545 10.862 10.966 11.046  9.863 10.101 10.514 10.844 11.156 10.294 -0.042 -0.115  0.013 -0.710 -0.650 -0.377 -0.197 -0.361 1.478E+07
 30000. 8.0  0.618  7.020 -3.185  8.877 10.024 10.205 10.323 10.452 10.781 10.887 10.970  9.716  9.980 10.410 10.748 11.066 10.188 -0.055 -0.145 -0.014 -0.723 -0.669 -0.417 -0.225 -0.378 1.083E+07
  3500. 8.5  0.898 17.194 -1.483 21.643 20.531 18.677 17.535 16.517 15.471 15.000 14.712 22.518 19.647 17.947 17.175 16.729 18.678  1.324  3.245  2.655  1.743  2.295  3.882  2.872  1.942 8.525E+09
  3750. 8.5  0.898 16.894 -1.140 20.604 19.687 18.034 17.035 16.130 15.228 14.810 14.556 21.466 18.893 17.400 16.747 16.384 18.026  1.180  2.943  2.384  1.476  1.981  3.469  2.584  1.714 8.343E+09
  4000. 8.5  0.898 16.614 -0.863 19.682 18.948 17.477 16.600 15.795 15.015 14.644 14.419 20.534 18.234 16.927 16.379 16.086 17.464  1.051  2.662  2.137  1.245  1.705  3.089  2.316  1.506 8.140E+09
  4250. 8.5  0.898 16.350 -0.644 18.862 18.298 16.995 16.224 15.506 14.831 14.500 14.300 19.704 17.658 16.520 16.061 15.829 16.978  0.934  2.397  1.910  1.046  1.460  2.736  2.066  1.317 7.909E+09
