    6   57  Pure hydrogen grid                                                                                                             Tue Feb 28 09:08:53 2006
 Teff  logg  M/Mo  Mbol     BC    U      B      V      R      I      J      H      K      u      g      r      i      z      y      b-y    u-b    v-y    V-I    G-R    U-V    U-G    B-V     Age
  3250. 7.5  0.318 16.144 -0.254 17.961 17.610 16.398 15.633 14.963 14.977 15.220 15.441 18.794 17.022 15.920 15.492 15.401 16.385  0.884  2.072  1.758  1.003  1.427  2.402  1.775  1.199 6.749E+09
  3500. 7.5  0.318 15.821 -0.370 17.634 17.348 16.191 15.440 14.727 14.479 14.664 14.817 18.465 16.784 15.735 15.280 15.101 16.177  0.847  1.973  1.685  1.023  1.367  2.279  1.684  1.138 5.702E+09
  3750. 7.5  0.319 15.519 -0.454 17.298 17.076 15.973 15.249 14.535 14.057 14.143 14.230 18.127 16.536 15.541 15.095 14.872 15.959  0.810  1.876  1.611  0.991  1.295  2.159  1.596  1.078 4.723E+09
  4000. 7.5  0.319 15.237 -0.498 16.937 16.781 15.736 15.046 14.354 13.728 13.676 13.699 17.765 16.265 15.329 14.908 14.678 15.721  0.771  1.777  1.534  0.932  1.213  2.033  1.505  1.014 4.157E+09
  4250. 7.5  0.320 14.972 -0.495 16.534 16.448 15.467 14.818 14.161 13.488 13.287 13.260 17.360 15.959 15.090 14.704 14.490 15.452  0.727  1.670  1.449  0.854  1.119  1.897  1.406  0.943 3.670E+09
  4500. 7.5  0.321 14.720 -0.455 16.097 16.086 15.175 14.571 13.956 13.305 12.997 12.924 16.921 15.626 14.830 14.485 14.299 15.160  0.680  1.556  1.357  0.766  1.017  1.751  1.301  0.866 3.136E+09
  4750. 7.5  0.323 14.479 -0.394 15.644 15.711 14.873 14.316 13.745 13.143 12.795 12.687 16.467 15.281 14.562 14.260 14.104 14.857  0.631  1.438  1.261  0.674  0.910  1.599  1.192  0.787 2.657E+09
  5000. 7.5  0.326 14.247 -0.329 15.199 15.342 14.576 14.065 13.538 12.990 12.640 12.527 16.020 14.942 14.298 14.038 13.913 14.560  0.583  1.322  1.167  0.583  0.806  1.450  1.085  0.709 2.162E+09
  5250. 7.5  0.329 14.022 -0.274 14.780 14.996 14.296 13.828 13.341 12.844 12.509 12.407 15.602 14.623 14.050 13.827 13.731 14.281  0.538  1.214  1.081  0.499  0.709  1.312  0.987  0.636 1.739E+09
  5500. 7.5  0.333 13.809 -0.232 14.398 14.680 14.041 13.612 13.162 12.712 12.395 12.306 15.219 14.331 13.824 13.636 13.565 14.026  0.497  1.116  1.001  0.423  0.619  1.185  0.896  0.569 1.512E+09
  6000. 7.5  0.338 13.415 -0.192 13.730 14.135 13.607 13.247 12.861 12.487 12.202 12.142 14.551 13.831 13.443 13.315 13.288 13.593  0.422  0.933  0.858  0.289  0.460  0.954  0.730  0.447 1.229E+09
  6500. 7.5  0.341 13.058 -0.188 13.179 13.682 13.246 12.944 12.613 12.304 12.051 12.015 14.001 13.415 13.127 13.050 13.059 13.234  0.358  0.787  0.740  0.175  0.324  0.767  0.600  0.343 1.022E+09
  7000. 7.5  0.343 12.729 -0.202 12.728 13.296 12.931 12.677 12.393 12.144 11.925 11.908 13.552 13.056 12.848 12.814 12.856 12.920  0.306  0.690  0.652  0.081  0.213  0.637  0.515  0.262 8.614E+08
  7500. 7.5  0.345 12.422 -0.223 12.352 12.957 12.646 12.431 12.189 11.998 11.814 11.812 13.178 12.736 12.594 12.597 12.668 12.636  0.263  0.634  0.587 -0.001  0.119  0.554  0.470  0.198 7.333E+08
  8000. 7.5  0.347 12.135 -0.248 12.033 12.654 12.383 12.206 12.000 11.863 11.713 11.724 12.861 12.447 12.362 12.395 12.494 12.374  0.226  0.610  0.540 -0.075  0.035  0.507  0.455  0.147 6.281E+08
  8500. 7.5  0.349 11.865 -0.270 11.758 12.377 12.135 11.993 11.823 11.737 11.621 11.642 12.589 12.178 12.141 12.206 12.333 12.126  0.194  0.613  0.509 -0.147 -0.042  0.490  0.466  0.107 5.411E+08
  9000. 7.5  0.352 11.610 -0.292 11.517 12.122 11.902 11.793 11.658 11.620 11.534 11.565 12.351 11.928 11.935 12.030 12.182 11.893  0.165  0.634  0.490 -0.216 -0.113  0.493  0.493  0.078 4.681E+08
  9500. 7.5  0.354 11.368 -0.316 11.304 11.889 11.684 11.608 11.506 11.513 11.455 11.493 12.140 11.699 11.745 11.866 12.044 11.675  0.139  0.664  0.479 -0.283 -0.179  0.508  0.528  0.055 4.066E+08
 10000. 7.5  0.356 11.138 -0.351 11.115 11.680 11.489 11.444 11.372 11.417 11.384 11.429 11.954 11.493 11.575 11.722 11.922 11.480  0.116  0.692  0.471 -0.347 -0.240  0.522  0.560  0.036 3.543E+08
 10500. 7.5  0.359 10.920 -0.405 10.947 11.501 11.325 11.306 11.262 11.339 11.325 11.373 11.788 11.318 11.433 11.603 11.822 11.315  0.096  0.709  0.460 -0.403 -0.294  0.525  0.578  0.018 3.097E+08
 11000. 7.5  0.361 10.711 -0.478 10.801 11.352 11.190 11.194 11.174 11.274 11.275 11.325 11.643 11.172 11.316 11.507 11.741 11.180  0.076  0.715  0.451 -0.450 -0.342  0.517  0.585  0.001 2.715E+08
 11500. 7.5  0.363 10.513 -0.574 10.683 11.234 11.086 11.109 11.107 11.226 11.235 11.286 11.526 11.057 11.228 11.436 11.678 11.077  0.058  0.716  0.438 -0.488 -0.382  0.504  0.585 -0.016 2.384E+08
 12000. 7.5  0.364 10.322 -0.685 10.585 11.140 11.007 11.043 11.055 11.186 11.201 11.251 11.428 10.967 11.160 11.380 11.629 10.998  0.041  0.711  0.424 -0.517 -0.415  0.485  0.578 -0.032 2.096E+08
 12500. 7.5  0.366 10.139 -0.787 10.475 11.041 10.926 10.975 10.999 11.141 11.162 11.212 11.318 10.874 11.088 11.321 11.576 10.918  0.026  0.694  0.403 -0.541 -0.446  0.455  0.561 -0.054 1.846E+08
 13000. 7.5  0.368  9.964 -0.882 10.354 10.940 10.846 10.903 10.939 11.093 11.119 11.171 11.198 10.781 11.014 11.258 11.520 10.839  0.013  0.663  0.375 -0.560 -0.471  0.414  0.533 -0.078 1.628E+08
 13500. 7.5  0.370  9.795 -0.977 10.235 10.845 10.772 10.835 10.880 11.046 11.077 11.131 11.078 10.694 10.944 11.196 11.462 10.766  0.001  0.625  0.345 -0.575 -0.492  0.368  0.499 -0.103 1.438E+08
 14000. 7.5  0.372  9.631 -1.071 10.120 10.756 10.702 10.771 10.823 11.000 11.035 11.091 10.964 10.612 10.878 11.138 11.408 10.697 -0.008  0.586  0.316 -0.587 -0.510  0.322  0.462 -0.125 1.272E+08
 14500. 7.5  0.373  9.474 -1.163 10.010 10.672 10.636 10.709 10.769 10.956 10.996 11.053 10.854 10.535 10.815 11.081 11.357 10.633 -0.016  0.547  0.289 -0.597 -0.525  0.277  0.426 -0.145 1.126E+08
 15000. 7.5  0.375  9.321 -1.253  9.904 10.593 10.574 10.650 10.716 10.913 10.956 11.015 10.748 10.462 10.755 11.027 11.306 10.571 -0.024  0.508  0.264 -0.606 -0.538  0.234  0.390 -0.162 9.982E+07
 15500. 7.5  0.377  9.174 -1.340  9.803 10.517 10.513 10.593 10.665 10.871 10.918 10.979 10.647 10.392 10.696 10.975 11.256 10.511 -0.030  0.470  0.241 -0.615 -0.550  0.192  0.355 -0.178 8.868E+07
 16000. 7.5  0.379  9.030 -1.425  9.706 10.445 10.455 10.538 10.616 10.830 10.880 10.943 10.549 10.326 10.640 10.923 11.209 10.454 -0.036  0.434  0.221 -0.623 -0.561  0.152  0.321 -0.191 7.890E+07
 16500. 7.5  0.381  8.891 -1.508  9.613 10.376 10.399 10.485 10.567 10.790 10.843 10.907 10.457 10.262 10.586 10.874 11.162 10.398 -0.041  0.400  0.202 -0.630 -0.571  0.115  0.288 -0.204 7.048E+07
 17000. 7.5  0.383  8.756 -1.588  9.523 10.309 10.345 10.434 10.521 10.750 10.806 10.872 10.367 10.200 10.533 10.826 11.116 10.344 -0.046  0.367  0.185 -0.637 -0.580  0.079  0.257 -0.215 6.316E+07
 20000. 7.5  0.394  8.019 -2.016  9.031  9.940 10.035 10.139 10.252 10.523 10.596 10.667  9.875  9.854 10.233 10.547 10.859 10.038 -0.070  0.189  0.100 -0.673 -0.627 -0.113  0.088 -0.270 3.171E+07
 25000. 7.5  0.411  7.003 -2.593  8.374  9.428  9.597  9.720  9.863 10.187 10.279 10.366  9.218  9.373  9.808 10.150 10.481  9.602 -0.098 -0.015  0.000 -0.720 -0.684 -0.331 -0.104 -0.334 1.675E+07
 30000. 7.5  0.428  6.169 -3.011  7.789  8.953  9.180  9.317  9.482  9.849  9.958 10.057  8.634  8.923  9.401  9.763 10.110  9.188 -0.118 -0.172 -0.080 -0.754 -0.724 -0.499 -0.254 -0.381 9.661E+06
 35000. 7.5  0.450  5.445 -3.384  7.333  8.563  8.828  8.970  9.145  9.533  9.647  9.748  8.177  8.550  9.052  9.424  9.776  8.837 -0.127 -0.271 -0.134 -0.768 -0.741 -0.604 -0.350 -0.408 4.587E+06
 40000. 7.5  0.464  4.830 -3.775  7.058  8.320  8.606  8.750  8.931  9.327  9.443  9.542  7.902  8.315  8.830  9.208  9.563  8.616 -0.132 -0.320 -0.162 -0.775 -0.751 -0.656 -0.397 -0.423 3.095E+06
 45000. 7.5  0.480  4.283 -4.152  6.855  8.136  8.435  8.581  8.765  9.166  9.283  9.381  7.700  8.137  8.660  9.041  9.398  8.445 -0.136 -0.350 -0.180 -0.780 -0.757 -0.687 -0.426 -0.433 2.248E+06
 50000. 7.5  0.496  3.790 -4.501  6.689  7.983  8.291  8.438  8.624  9.029  9.146  9.244  7.534  7.987  8.517  8.900  9.258  8.302 -0.139 -0.370 -0.193 -0.783 -0.762 -0.710 -0.446 -0.440 1.691E+06
 55000. 7.5  0.512  3.341 -4.823  6.546  7.849  8.164  8.313  8.501  8.908  9.025  9.123  7.390  7.856  8.392  8.777  9.135  8.176 -0.141 -0.386 -0.203 -0.786 -0.766 -0.726 -0.461 -0.445 1.286E+06
 60000. 7.5  0.527  2.932 -5.120  6.419  7.730  8.051  8.201  8.390  8.799  8.917  9.015  7.264  7.740  8.279  8.666  9.025  8.063 -0.143 -0.399 -0.211 -0.788 -0.769 -0.740 -0.473 -0.450 9.633E+05
